Code_commune;Nom_commune;Pop_municipale;Pop_totale;Code canton
140;Morancé;1995,00;2041,00;01
141;Mornant;6144,00;6316,00;08
142;LaMulatière;6524,00;6597,00;00
143;Neuville-sur-Saône;7562,00;7650,00;00
145;Odenas;921,00;946,00;03
148;Orliénas;2541,00;2612,00;09
149;Oullins;26553,00;26831,00;00
151;LePerréon;1524,00;1556,00;07
152;Pierre-Bénite;10397,00;10457,00;00
153;Poleymieux-au-Mont-d'Or;1377,00;1405,00;00
154;Pollionnay;2845,00;2898,00;12
155;Pomeys;1132,00;1163,00;12
156;Pommiers;2713,00;2795,00;01
159;PortedesPierresDorées;3907,00;4000,00;04
160;Poule-les-Écharmeaux;1065,00;1083,00;11
161;Propières;487,00;498,00;11
285;Pusignan;4191,00;4229,00;06
162;Quincié-en-Beaujolais;1331,00;1365,00;03
163;Quincieux;3495,00;3545,00;00
164;Ranchal;322,00;332,00;11
165;Régnié-Durette;1126,00;1151,00;03
286;Rillieux-la-Pape;30697,00;31063,00;00
166;Riverie;328,00;330,00;08
167;Rivolet;589,00;600,00;07
168;Rochetaillée-sur-Saône;1536,00;1577,00;00
169;Ronno;639,00;662,00;11
170;Rontalon;1157,00;1175,00;12
171;Sain-Bel;2363,00;2389,00;02
180;Saint-André-la-Côte;288,00;297,00;12
181;Saint-Appolinaire;223,00;224,00;10
287;Saint-Bonnet-de-Mure;6875,00;6983,00;06
182;Saint-Bonnet-des-Bruyères;356,00;358,00;11
183;Saint-Bonnet-le-Troncy;317,00;319,00;11
186;Saint-Clément-de-Vers;213,00;217,00;11
187;Saint-Clément-les-Places;654,00;675,00;02
188;Saint-Clément-sur-Valsonne;908,00;917,00;10
191;Saint-Cyr-au-Mont-d'Or;5747,00;5889,00;00
192;Saint-Cyr-le-Chatoux;153,00;160,00;07
193;Saint-Cyr-sur-le-Rhône;1269,00;1301,00;08
194;Saint-Didier-au-Mont-d'Or;7006,00;7164,00;00
196;Saint-Didier-sur-Beaujeu;617,00;628,00;03
197;Saint-Étienne-des-Oullières;2210,00;2258,00;07
198;Saint-Étienne-la-Varenne;756,00;767,00;03
199;Saint-Fons;19617,00;19678,00;00
200;Saint-Forgeux;1472,00;1503,00;10
203;Saint-Genis-l'Argentière;1018,00;1035,00;02
204;Saint-Genis-Laval;20914,00;21391,00;00
205;Saint-Genis-les-Ollières;5158,00;5250,00;00
206;Saint-Georges-de-Reneins;4409,00;4501,00;07
207;Saint-Germain-au-Mont-d'Or;3001,00;3048,00;00
208;Saint-Germain-Nuelles;2262,00;2322,00;04
209;Saint-Igny-de-Vers;566,00;582,00;11
212;Saint-Jean-des-Vignes;479,00;490,00;04
214;Saint-Jean-la-Bussière;1204,00;1229,00;11
215;Saint-Julien;879,00;899,00;07
216;Saint-Julien-sur-Bibost;566,00;577,00;02
217;Saint-Just-d'Avray;748,00;770,00;10
218;Saint-Lager;1048,00;1065,00;03
219;Saint-Laurent-d'Agny;2133,00;2196,00;08
220;Saint-Laurent-de-Chamousset;1805,00;1918,00;02
288;Saint-Laurent-de-Mure;5458,00;5525,00;06
225;Saint-Marcel-l'Éclairé;541,00;555,00;10
227;Saint-Martin-en-Haut;3853,00;4042,00;12
229;Saint-Nizier-d'Azergues;800,00;814,00;11
289;Saint-Pierre-de-Chandieu;4579,00;4661,00;06
231;Saint-Pierre-la-Palud;2596,00;2656,00;02
290;Saint-Priest;46927,00;47211,00;00
233;Saint-Romain-au-Mont-d'Or;1228,00;1278,00;00
234;Saint-Romain-de-Popey;1583,00;1656,00;10
235;Saint-Romain-en-Gal;1967,00;2073,00;08
236;Saint-Romain-en-Gier;590,00;597,00;08
291;Saint-Symphorien-d'Ozon;5789,00;5845,00;09
238;Saint-Symphorien-sur-Coise;3710,00;3806,00;12
239;Saint-Vérand;1212,00;1237,00;04
240;Saint-Vincent-de-Reins;617,00;623,00;11
184;Sainte-Catherine;991,00;1012,00;12
189;Sainte-Colombe;1884,00;1913,00;08
190;Sainte-Consorce;2028,00;2115,00;12
201;Sainte-Foy-l'Argentière;1286,00;1311,00;02
202;Sainte-Foy-lès-Lyon;22175,00;22567,00;00
230;Sainte-Paule;320,00;326,00;04
172;Salles-Arbuissonnas-en-Beaujolais;761,00;788,00;07
173;Sarcey;1016,00;1041,00;10
292;Sathonay-Camp;6497,00;6560,00;00
293;Sathonay-Village;2369,00;2417,00;00
174;LesSauvages;614,00;625,00;10
175;Savigny;1996,00;2052,00;02
294;Sérézin-du-Rhône;2772,00;2809,00;09
295;Simandres;1810,00;1819,00;09
296;Solaize;2986,00;3019,00;00
176;Soucieu-en-Jarrest;4590,00;4674,00;08
177;Sourcieux-les-Mines;2064,00;2110,00;02
178;Souzy;825,00;845,00;02
241;Taluyers;2590,00;2651,00;09
242;Taponas;927,00;940,00;03
243;Tarare;10490,00;10763,00;10
244;Tassin-la-Demi-Lune;22286,00;22637,00;00
245;Ternand;710,00;735,00;04
297;Ternay;5512,00;5586,00;09
246;Theizé;1295,00;1330,00;04
248;Thizy-les-Bourgs;6020,00;6146,00;11
249;Thurins;3053,00;3116,00;12
250;LaTour-de-Salvagny;4117,00;4216,00;00
298;Toussieu;3188,00;3216,00;06
252;Trèves;745,00;754,00;08
253;Tupin-et-Semons;637,00;647,00;08
24;Vald'Oingt;4122,00;4225,00;04
254;Valsonne;971,00;981,00;10
255;Vaugneray;6080,00;6191,00;12
256;Vaulx-en-Velin;52795,00;53016,00;00
257;Vaux-en-Beaujolais;1086,00;1105,00;07
258;Vauxrenard;322,00;329,00;03
