;Netflix;TF1;F2;Canal;F3;primevideo
60 et plus;216;425;321;81;147;122
50 a 59;189;234;64;41;61;154
35 a 49;298;296;61;61;34;211
25 a 34;256;154;10;36;5;141
15 a 24;194;110;36;12;3;73
11 a 14;98;31;9;19;2;49
