Anne;Visites
1994;20
1995;12
1996;6
1997;9
1998;14
1999;48
2000;78
2001;87
2002;93
2003;109
2004;116
2005;118
2006;126
2007;156
2008;163
2009;238
2010;76
2011;78
2012;96
2013;120
2014;138
2015;186
2016;214
2017;229
2018;228
2019;228
2020;295
2021;298
2022;
2023;
2024;
2025;
